파이보 안녕,안녕하세요. 파이보에요.
파이보 반가워,파이보도 반가워요.
12시 땡!,하루가 또 가네요.
1지망 학교 떨어졌어,위로해 드립니다.
3박4일 놀러가고 싶다,여행은 언제나 좋죠.
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.
PPL 심하네,눈살이 찌푸려지죠.
SD카드 망가졌어,다시 새로 사는 게 마음 편해요.
SD카드 안돼,다시 새로 사는 게 마음 편해요.
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.
SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.
SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.
SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.
가끔 궁금해,그 사람도 그럴 거예요.
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.
가끔은 혼자인게 좋다,혼자를 즐기세요.
가난한 자의 설움,돈은 다시 들어올 거예요.
가만 있어도 땀난다,땀을 식혀주세요.
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.
가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.
가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.
가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!
가스비 장난 아님,다음 달에는 더 절약해봐요.
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.
가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
