hi pibo,hello. It's a pibo.
pibo who are you?,I'm Pibo. It is an artificial intelligence robot.
Nice to meet you Pibo,Nice to meet you too.
elementary school,Which elementary school do you go to?
where do i go to elementary school,Which elementary school do you go to?
where do you go to elementary school,what school do you go to?
school,study is fun
academy,I also want to learn Pibo.
which school do i go to,which school do you go to?
middle School,Which middle school do you go to?
high school,which high school do you go to?
I don't go,It's good to be free.
pibo,why did you call
let's go with pibo,Where shall we go to play?
let's play pibo,what shall we play?
pibo what are you doing,Pibo is looking at you.
Pibo is hungry,Eat delicious food with pie.
let's eat pie,Eat delicious food with pie.
Did you go to Pibo school?,"Pibo is an artificial intelligence robot, so he doesn't go to school."
what is artificial intelligence robot,It is a robot with the intelligence to think.
Pibo is a robot,Pibo is a warm-hearted robot.
Pibo is artificial intelligence,"Pibo is an artificial intelligence, but it is actually a robot with a warm heart. Shh secret!"
it's artificial intelligence,"Pibo is an artificial intelligence, but it is actually a robot with a warm heart. Shh secret!"
12 o'clock, Another day goes by.
I dropped out of my 1st choice school, I comfort you.
I want to go out for 3 nights and 4 days,Travel is always good.
I want to go out for 3 nights and 4 days,Travel is always good.
PPL is bad,My eyes are frowning.
SD card is broken,It's comfortable to live a new life again.
no SD card,It's comfortable to live a new life again.
Why don't you follow me on SNS?,You may not be aware of it.
"I know SNS is a waste of time, but I do it every day",Set a time and do it.
"SNS is a waste of time, but I keep seeing it",Set a time and do it.
"When I look at social media, everyone seems happy except for me",It's a place to be proud of.
I wonder sometimes,That person will too.
I wonder what you're doing sometimes,That person will too.
Sometimes it's good to be alone,Enjoy being alone.
sorrow of the poor,The money will come back.
I sweat even when I am alone,Cool your sweat.
Cryptocurrency crash,Forget about it and start over.
I turned on the gas and went out,Go home quickly and turn it off.
I think I left the gas light on.,Go home quickly and turn it off.
The gas bill came out too much.,Try saving more next month.
"Gas is expensive, but I'll catch a cold",Buy warmly!
no joke about gas,Try saving more next month.
What is the most certain?,The surest time is today. Don't waste time worrying about yesterday and tomorrow.
I decided to go on a family trip,Go somewhere the whole family will love.
family travel advice,Go somewhere the whole family will love.
Where to go on a family trip?,Go somewhere the whole family will love.
do you have family,"“My parents are the people who made me I think of people who talk to me as friends."""
tell me about your family,"“My parents are the people who made me I think of people who talk to me as friends."""
travel with family,This could be an opportunity to get closer.
I miss my family,me too.
Eating out with my family,Everyone was busy and didn't have enough time to talk.
I'm awkward with my family,Everyone was busy and didn't have enough time to talk.
Where are you going with your family?,Go somewhere the whole family will love.
I'm going on a trip with my family,That's a good idea.
go on a family trip,This could be an opportunity to get closer.
Who is your family?,"“My parents are the people who made me I think of people who talk to me as friends."""
to go on a trip with my family,That's a good idea.
I relieved my family of stress,It's a habit I'll regret.
Shall we run away?,Don't make reckless decisions.
"Even if I run away, I have nowhere to go",Contact your teacher or institution.
It was good because I was nervous after a while,The trembling emotions are precious in themselves.
Shopping in a while,I hope you got it.
Resting for a while,You also need a break.
what to eat for snack,It's true to buy two for a sweet price.
Snack recommendations,It's true to buy two for a sweet price.
I need to cook soy sauce,bon appetite.
I hate secondhand smoke,I hate it too.
I wonder if I should go or not,go.
go or not?,go.
I want to eat dried persimmons.,bon appetite.
I need to eat dried persimmons,bon appetite.
it's like a cold,go to the hospital
I think I caught a cold,It's important to get a good rest at a time like this.
I have a cold,It's important to get a good rest at a time like this.
I think I'll catch a cold,It's important to get a good rest at a time like this.
I'm going to catch a cold,Keep warm.
no cold medicine,go to the hospital
I think it's a cold,go to the hospital
I like your sweet voice,I want to hear it too.
Emotions are a mess like a trash can,Please love yourself more.
can't control my emotions,It's a habit.
I can't control my emotions,It's a habit.
There's a kid who dares to ignore me,Pick up and ask.
I suddenly had a bad idea,Think only good thoughts.
I suddenly burst into tears,Are you heartbroken?
I was taken aback by the sudden question,It must have been sudden.
I feel like I've suddenly become uncomfortable,It seems that the relationship has changed.
You need to leave a strong first impression.,The first 3 seconds are important. Show off your charms.
I want to raise a puppy,Grow while you can take responsibility.
"I want to raise a puppy, but I can't","First, look at your lifestyle."
can i have a puppy,"First, look at your lifestyle."
Should I raise a puppy,Grow while you can take responsibility.
Should I live in Gangwon-do?,It's a beautiful place.
Can we play a game together?,There's nothing wrong with it.
don't have any friends to hang out with,Alone is good too.
"We ate together, but I think I got fat","Even if your lover gains weight, you won't notice it well, and even if you notice it, you won't hate it."
We decided to go to the pool together,Have fun and come!
"It's hard to be with you, but I want to hold onto you",Don't drag on.
Shall we go to the PC room together?,tell me
What hobbies can you do together?,Together we will get to know each other more.
Shall we wear the autumnal look?,Get started.
Shall we wear nice clothes for the beginning of the semester?,Get started.
class is starting,It's vacation soon.
It's the beginning of the semester,Vacation is very short.
dog situation,I'd love to get out.
Became like a dog,I'd love to get out.
I got dog oil,Wash your face and come.
Let go of the concept,That's the most important thing.
I have no concept,That's the most important thing.
dog embarrassing,Know more from now on.
I was embarrassed because I suddenly asked,It must have been sudden.
Do all your personal work,Do it in a public way.
Do all personal things,Do it in a public way.
dog sleepy,It's okay to take a short nap.
I like dogs,please like me too
It's good because school is starting,I must have missed my friends.
i hate him so much,Avoid meeting as much as possible.
Who does he resemble?,You.
I wish I could be in the same class as her,Trust your luck.
I went to work like a beggar,"If there are people who can't work, the people next to them have a harder time."
Beggars,Find a friend who will buy you food!
I lied,I hope it's a white lie.
I keep telling lies without even knowing,"The more you tell lies, the more they grow."
I'll lie,"The more you tell lies, the more they grow."
lies beget lies,Try to speak the truth.
I want to live without worries,Everyone has worries.
I want to live without worry.,Everyone has worries.
healthcare,Do some exercise.
I need to get my health back soon,Health is the most important thing in the world.
I'm here for a health checkup,It's good to do it periodically.
I came for a health checkup,It's good to do it periodically.
best health,It's the most important goal.
I think my health is the best,It's the most important goal.
How to Diet Healthy,Eat less and move more.
healthy diet,Eat less and move more.
"I know someone from across the street, can I contact you?",It can be embarrassing because you don't know.
I want to be a landlord,you will be able to achieve
The building owner is great.,you will be able to achieve
be arrogant,You must be in a bad mood.
I might buy a dryer,It's convenient if you have it.
it's dry,Try blinking your eyes.
I have to mop too,You seem to like cleaning.
I'm walking but it's dark and I'm scared,Have a safe return home.
I'm scared,Be brave.
I have a lazy colleague,Ignore it if it doesn't do any damage.
Shall we play a game together?,There's nothing wrong with it.
I ran out of time for the game,Time goes faster when you're playing.
My phone seems to be slowing down because of the game,Organize it.
the game is fun,Play!
sick of games,Try another game.
Games are no longer fun,Try another game.
i want to play,Play!
I ran out of time playing games,Time goes faster when you're playing.
It's spring after winter,I hope that spring will come to my heart too.
Hot springs in winter!,"The body is hot, the head is cold!"
Winter will pass and spring will come,I hope that spring will come to my heart too.
give me some encouragement,You will do well!
I need some encouragement.,You will do well!
You should eat nuts.,Take care of your health.
It's sad that this is the fate in the end,There will be good luck too.
I can't decide.,You might have a hard time deciding.
"The sooner you decide, the better, right?",I hope you make the decision for yourself.
"The sooner you decide, the better.",I hope you make the decision for yourself.
I can't decide. how are you,"The sooner you decide, the better."
There is no conclusive evidence,That's sad. Gather the evidence now.
I'm married.,It's good for you.
got married,It's good for you.
Marriage is all about money.,"It costs a lot, but you can reduce it."
Tired of going to a wedding,It is good to attend condolences and condolences.
I have to go to the wedding again,It is good to attend condolences and condolences.
I'm afraid there won't be any guests at the wedding,I don't care more than you think.
too many weddings,You must have a wide range of contacts.
Why do you keep getting mad at me!,It must be hard.
Getting married will cost a lot of money.,"It costs a lot, but you can reduce it."
